text,intents
would like to get details about help me with the goodss that have discounts. i need info on how do i get a repayment?. i need info on what is your return policy?.,"['Product Inquiry', 'Refund Request', 'Store Policy']"
i am looking to know what are the dispatch charges?. i am looking to know is this phone in stock?. i am looking to know can i cancel my purchase and get a money back?.,"['Store Policy', 'Product Inquiry', 'Refund Request']"
what are the delivery charges? need help with how do i get a repayment?. would like to get details about do you have this item in stock?.,"['Store Policy', 'Refund Request', 'Product Inquiry']"
need help with i want to check the status of my shipment.. what is the process for a refund? can you explain your warranty terms? please?,"['Order Tracking', 'Refund Request', 'Store Policy']"
"need help with i have been waiting for the purchase long time. could you explain what are the specifications of this laptop?? would like to get details about product i received is different from the one that i placed shipment, need help with repayment.","['Order Tracking', 'Product Inquiry', 'Refund Request']"
please help me understand i have been waiting for the shipment long time. i am looking to know what is the rate of the new headphones?. i do not want this product anymore,"['Order Tracking', 'Product Inquiry', 'Refund Request']"
can i return my purchase? please? what are the different color options that are in stock for the item? please?,"['Refund Request', 'Product Inquiry']"
i do not want this product anymore would like to get details about expected availability date for the item. need help with where is my purchase?.,"['Refund Request', 'Product Inquiry', 'Order Tracking']"
please help me understand do you have this item in stock?. i am looking to know can i return my shipment?. can you explain your warranty terms? please?,"['Product Inquiry', 'Refund Request', 'Store Policy']"
"what are the different color options that are available for the product? can you provide the tracking details? please? please help me understand it is been long time since i have raised the money back, but amount is not credited.","['Product Inquiry', 'Order Tracking', 'Refund Request']"
how long will delivery take? can you explain your warranty terms?,"['Order Tracking', 'Store Policy']"
what are the delivery charges? need help with is this phone in store?. i need info on how do i get a money back?.,"['Store Policy', 'Product Inquiry', 'Refund Request']"
can i return my order? can you tell me i want to check the status of my shipment.? i need info on is this phone in store?.,"['Refund Request', 'Order Tracking', 'Product Inquiry']"
what is the cost of the new headphones? please? would like to get details about when can i expect the money back to be processed. i am looking to know what is your return policy?.,"['Product Inquiry', 'Refund Request', 'Store Policy']"
could you explain system shows that shipment is delivered but i have not received any shipment? please help me understand do you have this goods in stock?.,"['Order Tracking', 'Product Inquiry']"
"i need info on it is been long time since i have raised the repayment, but amount is not credited. can you tell me how long will dispatch take??","['Refund Request', 'Order Tracking']"
i am looking to know i want to check the status of my shipment.. what are the options for free shipping please? do you have this product in stock?,"['Order Tracking', 'Store Policy', 'Product Inquiry']"
"what are the options for free delivery could you explain there is delay in the purchase shipping, can you please let me know the reason? it is been long time since i have raised the refund, but amount is not credited","['Store Policy', 'Order Tracking', 'Refund Request']"
"i am looking to know how do i get a repayment?. there is delay in the purchase dispatch, can you please let me know the reason please? i need info on is this phone in store?.","['Refund Request', 'Order Tracking', 'Product Inquiry']"
"could you explain can you explain your warranty terms?? i need info on how long will dispatch take?. need help with product i received is different from the one that i placed shipment, need help with repayment.","['Store Policy', 'Order Tracking', 'Refund Request']"
"what are the different color options that are available for the product? need help with product i received is different from the one that i placed purchase, need help with repayment. please help me understand can you provide the tracking details?.","['Product Inquiry', 'Refund Request', 'Order Tracking']"
please help me understand i do not want this item anymore. would like to get details about is this phone in store?.,"['Refund Request', 'Product Inquiry']"
need help with what is your return policy?. need help with help me with the items that have discounts.,"['Store Policy', 'Product Inquiry']"
would like to get details about is this phone in stock?. need help with i have been waiting for the purchase long time.,"['Product Inquiry', 'Order Tracking']"
"what are the options for free delivery can you tell me what are the specifications of this laptop?? i need info on there is delay in the shipment dispatch, can you please let me know the reason.","['Store Policy', 'Product Inquiry', 'Order Tracking']"
what are the delivery charges? need help with how long will shipping take?.,"['Store Policy', 'Order Tracking']"
"i am looking to know is this phone in store?. need help with it is been long time since i have raised the money back, but amount is not credited. what are the delivery charges?","['Product Inquiry', 'Refund Request', 'Store Policy']"
what are the different color options that are available for the product? need help with i do not want this goods anymore. can you tell me can you explain your warranty terms??,"['Product Inquiry', 'Refund Request', 'Store Policy']"
"product i received is different from the one that i placed order, need help with refund would like to get details about there is delay in the shipment dispatch, can you please let me know the reason.","['Refund Request', 'Order Tracking']"
please help me understand i have been waiting for the shipment long time. can you tell me what is the cost of the new headphones?? can you explain your warranty terms?,"['Order Tracking', 'Product Inquiry', 'Store Policy']"
i need info on what is your return policy?. can you tell me can i return my purchase?? i need info on is this phone in store?.,"['Store Policy', 'Refund Request', 'Product Inquiry']"
"what are the options for free delivery how long will delivery take? i need info on it is been long time since i have raised the repayment, but amount is not credited.","['Store Policy', 'Order Tracking', 'Refund Request']"
i have been waiting for the order long time need help with i do not want this goods anymore. can you tell me what are the shipping charges??,"['Order Tracking', 'Refund Request', 'Store Policy']"
can you provide the tracking details? please? what are the options for free delivery is this phone in stock? please?,"['Order Tracking', 'Store Policy', 'Product Inquiry']"
need help with i want to check the status of my shipment.. can you tell me how do i get a money back??,"['Order Tracking', 'Refund Request']"
"can you tell me how do i get a repayment?? i am looking to know there is delay in the shipment shipping, can you please let me know the reason.","['Refund Request', 'Order Tracking']"
"product i received is different from the one that i placed shipment, need help with repayment please? i have been waiting for the order long time what is your return policy? please?","['Refund Request', 'Order Tracking', 'Store Policy']"
can you tell me can i cancel my purchase and get a money back?? i am looking to know i have been waiting for the purchase long time. i am looking to know can you explain your warranty terms?.,"['Refund Request', 'Order Tracking', 'Store Policy']"
"would like to get details about what are the different color options that are in store for the goods?. what are the options for free shipping please? product i received is different from the one that i placed order, need help with refund","['Product Inquiry', 'Store Policy', 'Refund Request']"
expected availability date for the product i need info on what is the process for a repayment?. i need info on how long will shipping take?.,"['Product Inquiry', 'Refund Request', 'Order Tracking']"
"can you tell me there is delay in the shipment shipping, can you please let me know the reason? would like to get details about what are the shipping charges?.","['Order Tracking', 'Store Policy']"
need help with can i return my shipment?. i am looking to know can you explain your warranty terms?. need help with where is my purchase?.,"['Refund Request', 'Store Policy', 'Order Tracking']"
could you explain expected availability date for the item? please help me understand i have been waiting for the purchase long time. can you explain your warranty terms?,"['Product Inquiry', 'Order Tracking', 'Store Policy']"
i have been waiting for the order long time i am looking to know can you explain your warranty terms?. could you explain what are the specifications of this laptop??,"['Order Tracking', 'Store Policy', 'Product Inquiry']"
could you explain i want to check the status of my shipment.? please help me understand expected availability date for the item. could you explain can you explain your warranty terms??,"['Order Tracking', 'Product Inquiry', 'Store Policy']"
could you explain what are the different color options that are in stock for the goods?? need help with how long will shipping take?. please help me understand can i return my shipment?.,"['Product Inquiry', 'Order Tracking', 'Refund Request']"
"what are the different color options that are available for the product? product i received is different from the one that i placed order, need help with refund what are the shipping charges? please?","['Product Inquiry', 'Refund Request', 'Store Policy']"
"what is your return policy? can you tell me expected availability date for the goods? would like to get details about there is delay in the shipment shipping, can you please let me know the reason.","['Store Policy', 'Product Inquiry', 'Order Tracking']"
can you explain your warranty terms? can you tell me what are the different color options that are in store for the item??,"['Store Policy', 'Product Inquiry']"
what are the options for free delivery need help with what is the cost of the new headphones?. system shows that order is delivered but i have not received any order,"['Store Policy', 'Product Inquiry', 'Order Tracking']"
i am looking to know what is the cost of the new headphones?. do you offer free shipping?,"['Product Inquiry', 'Store Policy']"
i do not want this product anymore i have been waiting for the order long time,"['Refund Request', 'Order Tracking']"
need help with where is my shipment?. would like to get details about what are the options for free shipping.,"['Order Tracking', 'Store Policy']"
"what are the options for free delivery could you explain product i received is different from the one that i placed purchase, need help with repayment?","['Store Policy', 'Refund Request']"
"i am looking to know product i received is different from the one that i placed purchase, need help with repayment. what is your return policy? need help with can you provide the tracking details?.","['Refund Request', 'Store Policy', 'Order Tracking']"
can you tell me i do not want this item anymore? would like to get details about i have been waiting for the purchase long time.,"['Refund Request', 'Order Tracking']"
would like to get details about i do not want this goods anymore. would like to get details about i want to check the status of my shipment.. what is the price of the new headphones?,"['Refund Request', 'Order Tracking', 'Product Inquiry']"
could you explain can you explain your warranty terms?? is this phone available?,"['Store Policy', 'Product Inquiry']"
"when can i expect the repayment to be processed please? need help with there is delay in the shipment shipping, can you please let me know the reason. would like to get details about is this phone in store?.","['Refund Request', 'Order Tracking', 'Product Inquiry']"
"i need info on it is been long time since i have raised the money back, but amount is not credited. can you explain your warranty terms? would like to get details about is this phone in stock?.","['Refund Request', 'Store Policy', 'Product Inquiry']"
system shows that order is delivered but i have not received any order i am looking to know help me with the items that have discounts. what are the options for free delivery,"['Order Tracking', 'Product Inquiry', 'Store Policy']"
"what are the different color options that are available for the product? there is delay in the shipment shipping, can you please let me know the reason please? i am looking to know can i return my purchase?.","['Product Inquiry', 'Order Tracking', 'Refund Request']"
i am looking to know what are the different color options that are in store for the item?. need help with what is the process for a repayment?. what is your return policy?,"['Product Inquiry', 'Refund Request', 'Store Policy']"
"do you offer free shipping? please help me understand what is the rate of the new headphones?. it is been long time since i have raised the refund, but amount is not credited","['Store Policy', 'Product Inquiry', 'Refund Request']"
help me with the products that have discounts where is my shipment? please? need help with can i cancel my purchase and get a repayment?.,"['Product Inquiry', 'Order Tracking', 'Refund Request']"
could you explain i have been waiting for the purchase long time? can i cancel my order and get a refund? i need info on do you have this item in stock?.,"['Order Tracking', 'Refund Request', 'Product Inquiry']"
"please help me understand expected availability date for the goods. it is been long time since i have raised the refund, but amount is not credited","['Product Inquiry', 'Refund Request']"
please help me understand when can i expect the money back to be processed. would like to get details about what is your return policy?.,"['Refund Request', 'Store Policy']"
i am looking to know do you offer free shipping?. i need info on how do i get a repayment?.,"['Store Policy', 'Refund Request']"
please help me understand what is your return policy?. need help with is this phone in stock?.,"['Store Policy', 'Product Inquiry']"
could you explain i have been waiting for the shipment long time? i am looking to know is this phone in store?. i am looking to know what are the options for free shipping.,"['Order Tracking', 'Product Inquiry', 'Store Policy']"
"could you explain what are the dispatch charges?? please help me understand it is been long time since i have raised the repayment, but amount is not credited.","['Store Policy', 'Refund Request']"
"system shows that purchase is delivered but i have not received any purchase please? product i received is different from the one that i placed order, need help with refund what is your return policy?","['Order Tracking', 'Refund Request', 'Store Policy']"
i am looking to know what are the options for free dispatch. what are the different color options that are available for the product?,"['Store Policy', 'Product Inquiry']"
"i need info on it is been long time since i have raised the money back, but amount is not credited. i am looking to know what are the dispatch charges?. could you explain where is my shipment??","['Refund Request', 'Store Policy', 'Order Tracking']"
