text,intents
"i am looking to know it is been long time since i have raised the money back, but amount is not credited. could you explain there is delay in the purchase dispatch, can you please let me know the reason?","['Refund Request', 'Order Tracking']"
what are the features of this laptop? can i cancel my order and get a refund? i need info on what is your return policy?.,"['Product Inquiry', 'Refund Request', 'Store Policy']"
can you tell me how long will dispatch take?? is this phone available? could you explain what is the process for a repayment??,"['Order Tracking', 'Product Inquiry', 'Refund Request']"
can you provide the tracking details? please? how do i get a refund? help me with the goodss that have discounts please?,"['Order Tracking', 'Refund Request', 'Product Inquiry']"
need help with what are the different color options that are in store for the item?. i need info on can you provide the tracking details?.,"['Product Inquiry', 'Order Tracking']"
"expected availability date for the item please? i am looking to know i want to check the status of my shipment.. can you tell me product i received is different from the one that i placed purchase, need help with repayment?","['Product Inquiry', 'Order Tracking', 'Refund Request']"
what are the different color options that are in stock for the item? please? what are the options for free shipping please? would like to get details about how do i get a repayment?.,"['Product Inquiry', 'Store Policy', 'Refund Request']"
"do you offer free shipping? i am looking to know it is been long time since i have raised the money back, but amount is not credited.","['Store Policy', 'Refund Request']"
when can i expect the refund to be processed i need info on what is your return policy?. i have been waiting for the order long time,"['Refund Request', 'Store Policy', 'Order Tracking']"
i am looking to know what are the options for free shipping. i want to check the status of my shipment. can you tell me what is the process for a repayment??,"['Store Policy', 'Order Tracking', 'Refund Request']"
"product i received is different from the one that i placed order, need help with refund can you tell me what are the specifications of this laptop??","['Refund Request', 'Product Inquiry']"
i do not want this product anymore what are the options for free delivery can you tell me where is my purchase??,"['Refund Request', 'Store Policy', 'Order Tracking']"
"would like to get details about there is delay in the purchase dispatch, can you please let me know the reason. i need info on what is your return policy?.","['Order Tracking', 'Store Policy']"
"i am looking to know it is been long time since i have raised the repayment, but amount is not credited. can you provide the tracking details? what is your return policy?","['Refund Request', 'Order Tracking', 'Store Policy']"
is this phone available? please help me understand what is your return policy?. i am looking to know i have been waiting for the purchase long time.,"['Product Inquiry', 'Store Policy', 'Order Tracking']"
please help me understand what is the cost of the new headphones?. what is your return policy?,"['Product Inquiry', 'Store Policy']"
would like to get details about what is the process for a money back?. what are the features of this laptop? i am looking to know how long will dispatch take?.,"['Refund Request', 'Product Inquiry', 'Order Tracking']"
i need info on do you have this item in stock?. i am looking to know what is your return policy?.,"['Product Inquiry', 'Store Policy']"
"i need info on is this phone in stock?. when can i expect the refund to be processed there is delay in the purchase dispatch, can you please let me know the reason please?","['Product Inquiry', 'Refund Request', 'Order Tracking']"
i need info on can you explain your warranty terms?. i need info on what is the cost of the new headphones?.,"['Store Policy', 'Product Inquiry']"
"need help with product i received is different from the one that i placed purchase, need help with repayment. what are the options for free delivery how long will delivery take?","['Refund Request', 'Store Policy', 'Order Tracking']"
i need info on where is my purchase?. could you explain what is your return policy?? can you tell me can i return my shipment??,"['Order Tracking', 'Store Policy', 'Refund Request']"
need help with what are the shipping charges?. i need info on system shows that purchase is delivered but i have not received any purchase.,"['Store Policy', 'Order Tracking']"
can you provide the tracking details? i need info on what is the cost of the new headphones?.,"['Order Tracking', 'Product Inquiry']"
i am looking to know can i return my purchase?. please help me understand what are the dispatch charges?. what are the features of this laptop?,"['Refund Request', 'Store Policy', 'Product Inquiry']"
would like to get details about expected availability date for the goods. can you provide the tracking details? can i return my shipment? please?,"['Product Inquiry', 'Order Tracking', 'Refund Request']"
need help with i do not want this goods anymore. what are the different color options that are available for the product?,"['Refund Request', 'Product Inquiry']"
could you explain i do not want this goods anymore? please help me understand can you provide the tracking details?. please help me understand is this phone in stock?.,"['Refund Request', 'Order Tracking', 'Product Inquiry']"
do you offer free shipping? please help me understand help me with the items that have discounts. how long will dispatch take? please?,"['Store Policy', 'Product Inquiry', 'Order Tracking']"
i am looking to know i have been waiting for the purchase long time. help me with the goodss that have discounts please? i do not want this item anymore please?,"['Order Tracking', 'Product Inquiry', 'Refund Request']"
would like to get details about system shows that shipment is delivered but i have not received any shipment. i am looking to know is this phone in store?.,"['Order Tracking', 'Product Inquiry']"
i am looking to know what are the shipping charges?. could you explain how do i get a money back??,"['Store Policy', 'Refund Request']"
can i return my order? please help me understand what is your return policy?.,"['Refund Request', 'Store Policy']"
what is the price of the new headphones? i do not want this product anymore i am looking to know what is your return policy?.,"['Product Inquiry', 'Refund Request', 'Store Policy']"
can i cancel my shipment and get a money back? please? i am looking to know i have been waiting for the shipment long time. can you tell me what are the shipping charges??,"['Refund Request', 'Order Tracking', 'Store Policy']"
could you explain i do not want this goods anymore? is this phone available?,"['Refund Request', 'Product Inquiry']"
would like to get details about can you explain your warranty terms?. need help with what are the specifications of this laptop?. please help me understand what is the process for a money back?.,"['Store Policy', 'Product Inquiry', 'Refund Request']"
